"215918_s_at","217046_s_at","205941_s_at","202524_s_at","217428_s_at","217771_at","207302_at","206208_at","206209_s_at","213715_s_at","205637_s_at","205107_s_at","217177_s_at","204396_s_at","203435_s_at","220027_s_at","210608_s_at","49111_at","202523_s_at","221861_at","207547_s_at","205200_at","209470_s_at","210081_at","206283_s_at","219719_at","209469_at","212115_at","209793_at","204271_s_at","209875_s_at","43511_s_at","219508_at","210838_s_at","202148_s_at","200878_at","209904_at","219125_s_at","212975_at","209074_s_at","201004_at","204500_s_at","220677_s_at","63305_at","204677_at","216620_s_at","219059_s_at","209789_at","208981_at"
7.57852912,6.346031099,10.52293953,8.130348296,9.751080338,8.741754196,7.007032984,5.441992324,6.983205711,7.128782826,7.89559581,6.807496381,5.680468893,7.991542209,8.815055766,8.421814688,7.202061675,7.40678406,7.907845745,8.881219972,7.388507666,7.035733434,6.217030204,6.278461217,5.870896331,8.068657407,5.002212856,9.666551159,6.514987699,7.618065755,11.86943836,7.989401486,8.021442132,7.12357515,8.453217371,10.39446619,4.882261263,8.726271366,8.32026232,7.699997222,11.94382078,6.974755618,5.942878315,7.742552983,7.275206344,9.232767995,8.408163315,7.818837288,9.79141734
8.92123157,10.03447399,7.469678223,10.79296617,5.716380897,7.450085659,7.42553319,8.124875817,9.733308499,8.565940171,9.143390982,6.644588039,7.415056679,10.58003469,10.12144716,10.34773569,6.211571206,9.29968212,8.42788717,10.83157575,9.77994889,10.3321072,9.973182002,12.63237385,8.122097625,9.319625943,8.105833599,9.392136169,6.86204259,10.7555853,7.404735248,10.06279838,6.669935669,7.263501376,7.84595143,13.41085257,9.098377892,8.451149963,9.581345445,11.57808865,10.48472758,7.557769318,7.421932551,9.344281943,10.19319168,10.22410694,9.937115978,8.044252654,11.35377808
7.261902406,6.511481656,10.11251751,8.505122813,8.998537923,9.191088892,6.739704735,5.83440044,6.952021878,6.86217371,7.934999074,7.734973836,5.611123322,7.443131162,8.509321472,8.780974421,7.949887743,8.065169518,8.239226656,9.502992666,7.345076296,7.553579938,6.089750291,7.543390003,5.931540738,8.206616046,5.259259585,10.73533733,6.175352765,7.996663636,11.9115508,8.621767968,8.662609609,6.589096014,8.532484175,10.88811815,5.180462953,8.973142557,8.169795608,7.531945642,12.10624952,6.771667389,5.766182049,7.752234447,6.894339761,8.859114403,7.988287337,7.045412501,9.30537274
8.809150597,10.65613801,7.056377053,11.03582434,5.691676801,6.889362913,7.380559092,7.395930418,9.310346414,8.398441734,8.669542211,7.046425274,6.935090662,10.43514456,10.04888074,10.23467235,6.268843056,9.410414252,9.205130044,10.7717021,9.140090252,11.41074075,9.479603687,13.06910914,7.379700635,9.692869826,8.51076499,9.342415307,6.874174747,10.3052374,7.938899012,9.930128159,6.821646722,7.533282436,7.703731766,13.53623811,9.548095955,8.458568079,9.500871424,10.51036586,11.01977325,7.591904606,7.376871039,8.610503856,9.567549458,9.854063121,8.754001608,7.919185339,10.93072893
7.266947889,6.408517393,9.622406085,8.139769732,9.519464559,7.557949427,6.950654012,5.878450325,6.711114279,6.778053249,7.764250826,7.695690976,5.350837487,7.851882066,8.337100998,8.080191243,8.029999751,7.842501805,7.999779575,9.298341273,7.261985112,7.23441372,6.055039674,7.819870357,5.713607903,8.056290478,5.291206778,10.40589324,6.311480272,7.811190803,13.16649786,8.547457823,8.733001528,6.727745395,8.20033676,10.887059,7.009168782,8.929614152,8.223264811,7.263849588,12.24930957,6.804260895,6.084255222,7.985770795,6.495514311,8.791891478,8.111241094,7.24104629,9.278600835
8.301222757,10.25012113,7.439617526,10.68283977,5.88273653,7.289706325,7.745244464,8.868761964,10.57511569,8.45139243,8.586368951,6.388351164,6.671196048,10.30354863,9.782861878,10.15438115,6.531279202,8.957065294,9.010057745,10.19217085,9.809998389,11.94704425,9.324423683,12.86044045,7.709057542,9.457356917,8.24533018,9.379020971,6.936586672,10.11925874,7.010433205,9.392298988,6.817266618,7.811963724,7.740575852,13.52409469,9.165942948,8.539996595,9.672175165,11.066822,11.24374648,7.101792924,7.273025452,8.518743679,9.791771744,10.40904746,9.587386242,8.103984919,11.48945768
6.976406127,5.955483367,9.506841456,7.895577445,8.383146448,8.711967111,6.521133199,5.463217412,6.471482598,6.66431444,7.612845596,8.04136872,5.423838279,7.136199382,8.628504657,8.018545831,7.024412451,7.940076207,7.669265237,9.378711982,6.766516427,6.283283744,6.440249982,6.88926,5.672903229,7.231024127,5.380016378,10.31616929,6.121897745,7.264589942,12.70651611,8.511594387,6.810854041,6.50926203,8.335375831,10.5279095,6.321028754,9.127265919,8.227965257,6.728746417,11.6602346,7.72115863,5.16568426,7.392089748,5.821285651,8.535180554,7.632415577,6.94658124,8.961554919
7.441168785,6.712962418,8.405756727,7.760904286,6.402544519,10.11672082,6.888608403,5.939432992,6.876774061,7.028102839,7.668692614,7.895643519,5.407864105,7.238496248,11.05168695,7.741873654,6.959891637,7.859809338,7.871436053,9.063369444,6.775908014,7.105771516,6.352192502,6.685123925,5.952403193,7.966720569,5.516402351,10.12892838,6.696650855,7.690534574,11.41018616,8.331362016,7.378235197,6.563358565,8.850690464,10.69241345,5.866914903,9.816533476,8.179767818,7.251964802,11.59650758,6.833038979,5.413573326,7.517721631,6.121613247,8.773330513,8.203623478,7.233691121,8.872254889
8.315593469,9.645454288,7.658163491,10.0521294,6.411480377,7.103708476,7.37068902,7.724600101,9.812573916,7.649171343,8.655558646,6.832385501,6.816986889,9.724359236,9.741995758,9.437237522,6.681329715,8.928163075,8.475651882,10.13520853,8.459184013,10.84599711,9.180892911,12.16632717,7.034555202,9.412915257,8.163197238,9.398915685,7.284739128,9.758191932,7.294331729,9.512521398,6.695877566,7.183211782,7.722907714,13.10531044,8.912546514,8.466747403,9.071749948,9.815074387,11.16727101,7.772529955,6.658688431,8.348210668,8.883593907,9.447252261,9.483240794,7.525257733,11.15601533
7.158367573,6.062517835,9.952202519,7.47699331,9.177568398,7.726133077,6.670855803,5.657856158,6.762992233,7.016647388,7.63050985,8.261335209,5.726031838,7.909373589,8.734475677,8.183499051,6.908464119,7.742533511,7.645695861,9.214173196,7.050530389,7.106804127,5.793319435,6.695042585,6.03129757,7.756266405,5.133402098,9.576042083,6.301106013,7.855117937,11.77905869,8.344704019,7.599489837,6.586378046,8.6928806,11.27816122,5.146305911,9.518655536,8.011468514,7.338403406,12.61075451,6.755650754,5.754287503,7.649778797,7.605783655,8.880965298,8.15410248,7.000184241,10.2944426
